slug,brand,name,ask,retail,ratio,weight,rank
yzy-ys-01-black,Yeezy,YZY YS-01 Black,34,40,0.85,94015,1
air-jordan-4-retro-toro-bravo-2026,Jordan,Jordan 4 Retro Toro Bravo (2026),159,220,0.7227,22436,2
air-jordan-4-retro-og-nigel-sylvester-brick-after-brick,Jordan,Jordan 4 Retro OG Nigel Sylvester Brick After Brick,229,230,0.9957,14553,3
air-jordan-1-retro-low-og-sp-travis-scott-sail-tropical-pink,Jordan,Jordan 1 Retro Low OG SP Travis Scott Sail Tropical Pink,305,155,1.9677,12839,4
air-jordan-1-retro-low-og-sp-travis-scott-shy-pink,Jordan,Jordan 1 Retro Low OG SP Travis Scott Shy Pink,300,155,1.9355,11861,5
mihara-yasuhiro-hank-og-sole-canvas-low-black,Maison Mihara Yasuhiro,Maison Mihara Yasuhiro Hank OG Sole Canvas Low Black,131,220,0.5955,11013,6
yzy-ys-01-silver-green,Yeezy,YZY YS-01 Cream,34,40,0.85,10677,7
air-jordan-5-retro-black-university-blue-2026,Jordan,Jordan 5 Retro Black University Blue (2026),265,220,1.2045,8936,8
nike-air-force-1-low-white-07,Nike,Nike Air Force 1 Low '07 White,70,115,0.6087,9019,9
air-jordan-5-retro-white-metallic-2026,Jordan,Jordan 5 Retro White Metallic (2026),155,215,0.7209,8959,10
air-jordan-12-retro-bloodline,Jordan,Jordan 12 Retro Bloodline,185,215,0.8605,8687,11
asics-gel-1130-black-pure-silver,ASICS,ASICS Gel-1130 Black Pure Silver,86,95,0.9053,8342,12
air-jordan-11-retro-gamma-blue-2025,Jordan,Jordan 11 Retro Gamma Blue (2025),202,235,0.8596,8333,13
air-jordan-5-retro-wolf-grey-2026,Jordan,Jordan 5 Retro Wolf Grey (2026),267,220,1.2136,7600,15
air-jordan-3-retro-worlds-best-dad,Jordan,Jordan 3 Retro World's Best Dad,132,215,0.614,5966,17
mihara-yasuhiro-peterson-og-sole-canvas-low-black,Maison Mihara Yasuhiro,Maison Mihara Yasuhiro Peterson OG Sole Canvas Low Black,118,200,0.59,5398,20
asics-gel-1130-white-pure-silver,ASICS,ASICS Gel-1130 White Pure Silver,84,95,0.8842,5596,21
nike-mind-001-slide-black-chrome,Nike,Nike Mind 001 Slide Black Chrome,168,95,1.7684,5622,22
new-balance-9060-triple-black,New Balance,New Balance 9060 Triple Black,94,150,0.6267,5408,24
timberland-6-inch-premium-waterproof-wheat,Timberland,"Timberland 6"" Premium Waterproof Boot Wheat",94,210,0.4476,5221,25
bravest-studios-bear-claw-mule-black,Bravest Studios,Bravest Studios Bear Claw Mule Black,78,110,0.7091,5178,26
new-balance-530-silver-metallic-polka-dots,New Balance,New Balance 530 Silver Metallic Polka Dots,104,100,1.04,4664,33
nike-air-force-1-low-supreme-box-logo-black,Nike,Nike Air Force 1 Low Supreme Black,137,118,1.161,4448,35
birkenstock-boston-soft-footbed-suede-taupe,Birkenstock,Birkenstock Boston Soft Footbed Suede Taupe,82,155,0.529,4435,36
nike-air-max-95-og-big-bubble-pink-foam-womens,Nike,Nike Air Max 95 OG Big Bubble Pink Foam (Women's),130,180,0.7222,4449,37
crocs-classic-clog-lightning-mcqueen,Crocs,Crocs Classic Clog Lightning McQueen,44,60,0.7333,4303,38
nike-air-force-1-low-supreme-box-logo-white,Nike,Nike Air Force 1 Low Supreme White,128,118,1.0847,4242,40
vans-lx-old-skool-36-pearlized-pack-vintage-cocoa-brown,Vans,Vans LX Old Skool 36 Pearlized Pack Vintage Cocoa Brown,251,100,2.51,4291,43
nike-air-max-95-og-big-bubble-neon-2025,Nike,Nike Air Max 95 OG Big Bubble Neon (2025/2026),150,185,0.8108,4146,42
onitsuka-tiger-mexico-66-kill-bill-2022,ASICS,Onitsuka Tiger Mexico 66 Kill Bill,121,120,1.0083,3756,45
asics-gel-kayano-14-white-graphite-grey,ASICS,ASICS Gel-Kayano 14 White Graphite Grey,129,150,0.86,3564,47
nike-mind-001-slide-light-smoke-grey,Nike,Nike Mind 001 Slide Light Smoke Grey,151,95,1.5895,3280,51
adidas-samba-og-cloud-white-core-black,adidas,adidas Samba OG Cloud White Core Black,52,100,0.52,3046,55
nike-mind-001-slide-team-red-university-red,Nike,Nike Mind 001 Slide Team Red University Red,170,95,1.7895,3022,57
nike-p-6000-metallic-silver,Nike,Nike P-6000 Metallic Silver,92,120,0.7667,2744,59
adidas-ballerina-bad-bunny-flamboyan,adidas,adidas Ballerina Bad Bunny Flamboyan,97,120,0.8083,2668,61
new-balance-m2002-protection-pack-rain-cloud,New Balance,New Balance 2002R Protection Pack Rain Cloud,92,150,0.6133,2689,62
nike-air-vapormax-plus-triple-black,Nike,Nike Air VaporMax Plus Triple Black,122,190,0.6421,2661,63
yzy-ys-01-fudge,Yeezy,YZY YS-01 Fudge,33,40,0.825,2581,64
asics-gel-nyc-graphite-grey-black,ASICS,ASICS Gel-NYC Graphite Grey Black,112,130,0.8615,2518,65
adidas-samba-og-preloved-red-leopard-womens,adidas,adidas Samba OG Preloved Red Leopard (Women's),58,110,0.5273,2097,80
vans-lx-old-skool-36-pearlized-pack-black-navy,Vans,Vans LX Old Skool 36 Pearlized Pack Black Navy,313,100,3.13,2027,84
adidas-yeezy-foam-rnnr-onyx,adidas,adidas Yeezy Foam RNR Onyx,80,90,0.8889,1933,89
adidas-yeezy-boost-350-v2-onyx,adidas,adidas Yeezy Boost 350 V2 Onyx,111,230,0.4826,1871,92
asics-gel-1130-white-clay-canyon,ASICS,ASICS Gel-1130 White Clay Canyon,66,95,0.6947,1858,93
adidas-yeezy-slide-black-onyx,adidas,adidas Yeezy Slide Onyx,114,60,1.9,1772,98
new-balance-9060-black-castlerock-grey,New Balance,New Balance 9060 Black Castlerock Grey,75,150,0.5,1804,99
asics-gel-kayano-14-black-pure-silver,ASICS,ASICS Gel-Kayano 14 Black Pure Silver,96,150,0.64,1731,103
asics-gel-1130-white-cloud-grey,ASICS,ASICS Gel-1130 White Cloud Grey,69,100,0.69,1766,105
adidas-yeezy-boost-350-v2-bone,adidas,adidas Yeezy Boost 350 V2 Bone,123,230,0.5348,1735,109
new-balance-m2002-protection-pack-phantom,New Balance,New Balance 2002R Protection Pack Phantom,87,150,0.58,1734,108
